,Gene/Region,"HGNC/Dosage ID",Cytoband,GRCh37,GRCh38,"HI Score","Haplo Disease","Haplo Disease ID","TS Score","Triplo Disease","Triplo Disease ID",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"16p13.12 population region (gnomAD-SV_v2.1_DEL_16_152599)",ISCA-46484,16p13.12,16:14782199-14805000,16:14688342-14711143,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"1 copy: 14q telomere; 3 copies: 14q telomere",ISCA-37477,14q32.3,14:106050000-107289540,14:105583663-106881350,"40 (Dosage Sensitivity Unlikely)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,07/31/2014
R,"1 copy: 2q telomere|3 copies: 2q telomere",ISCA-37470,2q37.3,2:242930600-243102476,2:241988449-242157305,"40 (Dosage Sensitivity Unlikely)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,04/24/2014
R,"1 copy: 6p telomere | 3 copies: 6p telomere",ISCA-37471,6p25,6:259528-339802,6:259528-339802,"40 (Dosage Sensitivity Unlikely)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,06/20/2014
R,"10p12.1 population region (DGV_Gold_Standard_June_2021_gssvL11273)",ISCA-46638,10p12.1,10:27638256-27642180,10:27349327-27353251,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108282)",ISCA-46426,10p12.33,10:17867999-17880000,10:17826000-17838001,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108283)",ISCA-46427,10p12.33,10:17879999-17893800,10:17838000-17851801,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108288)",ISCA-46428,10p12.33,10:18117799-18130100,10:17828846-17841147,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108289)",ISCA-46429,10p12.33,10:18126899-18135000,10:17837946-17846047,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10p13 population region (DGV_Gold_Standard_June_2021_gssvL10668)",ISCA-46637,10p13,10:13259247-13260742,10:13217247-13218742,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.2 recurrent region (LCR C-LCR D)",ISCA-37497,10q11.22-q11.23,10:49389703-51053583,10:48181660-49845537,"1 (Little Evidence)",'-,'-,"1 (Little Evidence)",'-,'-,,,‐,‐,‐,10/12/2022
R,"10q11.22 population region (DGV_Gold_Standard_June_2021_gssvG4512)",ISCA-46639,10q11.22,10:47531763-47597768,10:46160527-46226532,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12105)",ISCA-46640,10q11.22,10:48664595-48872432,10:47074765-47282602,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12112)",ISCA-46642,10q11.22,10:48902069-48986229,10:47502722-47586882,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109954)",ISCA-46430,10q11.22,10:46310649-46325800,10:45815201-45830352,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109958)",ISCA-46431,10q11.22,10:46338599-46375000,10:45843151-45879552,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109998)",ISCA-46432,10q11.22,10:47171999-47177000,10:46377769-46382770,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109999)",ISCA-46433,10q11.22,10:47177699-47182800,10:46373069-46378170,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110000)",ISCA-46434,10q11.22,10:47191199-47201400,10:48009306-48019507,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110001)",ISCA-46435,10q11.22,10:47211299-47216400,10:48029382-48034483,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110016)",ISCA-46436,10q11.22,10:47748899-47754600,10:46377639-46383340,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110019)",ISCA-46437,10q11.22,10:47896499-47919300,10:50080601-50103402,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110021)",ISCA-46438,10q11.22,10:47927849-47935000,10:50111946-50119097,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110022)",ISCA-46439,10q11.22,10:47932799-47938200,10:50116898-50122299,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110031)",ISCA-46440,10q11.22,10:48020299-48039225,10:50205831-50224757,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110040)",ISCA-46441,10q11.22,10:48197999-48248000,10:46798971-46848972,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110043)",ISCA-46442,10q11.22,10:48239999-48247800,10:47499361-47507162,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110044)",ISCA-46443,10q11.22,10:48251999-48258000,10:47487361-47493362,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110072)",ISCA-46444,10q11.22,10:48806124-48812000,10:46933236-46939112,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (DGV_Gold_Standard_June_2021_gssvL12109)",ISCA-46641,10q11.23,10:51861706-52000736,10:50101946-50240976,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110193)",ISCA-46445,10q11.23,10:51219499-51231000,10:73668724-73680225,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110221)",ISCA-46446,10q11.23,10:51839699-51845100,10:50079939-50085340,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110222)",ISCA-46447,10q11.23,10:51845699-51850800,10:50085939-50091040,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110223)",ISCA-46448,10q11.23,10:51851849-51857400,10:50092089-50097640,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110224)",ISCA-46449,10q11.23,10:51858299-51864600,10:50098539-50104840,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110225)",ISCA-46450,10q11.23,10:51861999-51894650,10:50102239-50134890,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110229)",ISCA-46451,10q11.23,10:51967199-51974400,10:50207439-50214640,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110230)",ISCA-46452,10q11.23,10:51973199-51981300,10:50213439-50221540,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13247)",ISCA-46643,10q22.1,10:71280815-71291303,10:69521059-69531547,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13249)",ISCA-46644,10q22.1,10:71282906-71291092,10:69523150-69531336,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q22.3 population region (gnomAD-SV_v2.1_DEL_10_112166)",ISCA-46453,10q22.3,10:81604499-81610800,10:79844743-79851044,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q22.3q23.2 recurrent region (includes BMPR1A)",ISCA-37424,10q22.3-q23.2,10:81682843-88739388,10:79923087-86979631,"3 (Sufficient Evidence)",'-,'-,"1 (Little Evidence)",'-,'-,,,‐,‐,‐,05/15/2023
