,Gene/Region,GRCh38,"HI Score","TS Score",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"2p24.3 MYCN-DDX1 duplication region",2:15568553-16045215,"Not Yet Evaluated","2 (Emerging Evidence)",,,‐,‐,‐,08/07/2017
G,BPHL,6:3118376-3153599,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,69.92,0,1.35,02/02/2021
G,CBY2,13:45701030-45714559,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,62.14,0,1.09,02/03/2021
G,COL16A1,1:31652263-31704162,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,41.54,0,0.63,02/01/2021
G,COL6A5,3:130345516-130484846,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,76.88,0,0.92,02/02/2021
G,CYP3A43,7:99827626-99867138,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,35.98,0,1.11,02/02/2021
G,DNAJC28,21:33488055-33491716,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,63.77,0,1.39,02/02/2021
G,EFCAB13,17:47323955-47441312,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,86.7,0,1.37,02/02/2021
G,EXO5,1:40508741-40516050,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,64.2,0,1.43,02/02/2021
G,FMO2,1:171185208-171212686,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,56.93,0,1.06,02/02/2021
G,GAB4,22:16961936-17008281,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,87.14,0,1.22,02/02/2021
G,GEN1,2:17753687-17788946,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,58.31,0,0.95,02/02/2021
G,GJB2,13:20187470-20192938,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,20.16,0,1.98,05/10/2012
G,GRIN3B,19:1000419-1009748,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,80.29,0,0.98,02/02/2021
G,GUCA1C,3:108907644-108955195,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,74.3,0,1.88,02/02/2021
G,HSD17B13,4:87303794-87322882,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,70.24,0,1.14,02/02/2021
G,HTN3,4:70028459-70036538,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,90.63,0,1.89,02/02/2021
G,IMMP2L,7:110662644-111562531,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,4.25,0.01,1.2,04/12/2022
G,KLK12,19:51028954-51035648,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,83.13,0,1.36,02/02/2021
G,KRT24,17:40694246-40703752,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,66.8,0,1.45,02/02/2021
G,KRT37,17:41420547-41424585,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,74.92,0,1.31,02/02/2021
G,NUDT13,10:73110455-73131827,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,47.18,0,1.38,02/02/2021
G,PCDHGA8,5:141392633-141512975,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,54.62,0,1.35,02/02/2021
G,PCSK9,1:55039548-55064852,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,73.06,0,1.34,12/17/2015
G,PSORS1C2,6:31137534-31139066,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,68.42,0,1.74,02/02/2021
G,RABL2A,2:113627218-113643392,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,74.97,0,1.62,02/02/2021
G,RNF32,7:156640202-156678333,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,75.12,0,1.54,02/02/2021
G,SDR42E1,16:81988855-82011526,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,72.19,0,1.86,02/02/2021
G,SEC14L4,22:30488150-30505711,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,74.07,0,1.13,02/02/2021
G,SIGLEC5,19:51610960-51630428,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,97.84,0,0.98,02/02/2021
G,SLC22A14,3:38281662-38318575,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,95,0,1.26,02/02/2021
G,SLC6A18,5:1225381-1246189,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,69.67,0,1.47,02/02/2021
G,TEX26,13:30932654-30975502,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,89.11,0,1.4,02/03/2021
G,TIGD6,5:149993118-150000654,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,70.79,0,1.21,02/03/2021
G,TPSD1,16:1256069-1259008,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,94.69,0,1.85,02/03/2021
G,UNC93A,6:167269032-167316014,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,85.98,0,1.69,02/03/2021
R,"19q13.3 region (PSG gene cluster)",19:42738644-43237158,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,03/13/2014
R,"3 copies: 16p centromere",16:34967717-35913137,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/01/2013
R,"1 copy: 14q telomere; 3 copies: 14q telomere",14:105583663-106881350,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,07/31/2014
R,"14q11.2 region (TCRA region)",14:21642889-22552154,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,04/09/2015
R,"8p23.1 region (DEFB gene cluster)",8:7195664-8273167,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,03/12/2014
R,"1 copy: 6p telomere | 3 copies: 6p telomere",6:259528-339802,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,06/20/2014
R,"1 copy: 2q telomere|3 copies: 2q telomere",2:241988449-242157305,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,04/24/2014
