GeneID,Symbol,Chromosomes,GRCh38_start,GRCh38_stop
1,A1BG,19,58345183,58353492
2,A2M,12,9067708,9116229
9,NAT1,8,18170467,18223689
10,NAT2,8,18386301,18401218
12,SERPINA3,14,94612391,94624053
13,AADAC,3,151814116,151828488
14,AAMP,2,218264129,218270137
15,AANAT,17,76453351,76470117
16,AARS1,16,70252298,70289506
18,ABAT,16,8674617,8784570
19,ABCA1,9,104781006,104928155
20,ABCA2,9,137007234,137028922
21,ABCA3,16,2275881,2340728
22,ABCB7,X,75051048,75156283
23,ABCF1,6,30571442,30591522
24,ABCA4,1,93992834,94121148
25,ABL1,9,130713043,130887675
26,AOC1,7,150852120,150861504
27,ABL2,1,179099330,179229677
28,ABO,9,133250401,133275201
29,ABR,17,1003519,1229722
30,ACAA1,3,38122715,38137127
31,ACACA,17,37084992,37406836
32,ACACB,12,109111189,109268226
33,ACADL,2,210187923,210225447
34,ACADM,1,75724709,75763679
35,ACADS,12,120725826,120740008
36,ACADSB,10,123009006,123058290
37,ACADVL,17,7217125,7225266
38,ACAT1,11,108116705,108147603
39,ACAT2,6,159762045,159779112
40,ASIC2,17,33013087,34156768
41,ASIC1,12,50057596,50083622
43,ACHE,7,100889994,100896994
47,ACLY,17,41866917,41930545
48,ACO1,9,32384643,32454769
49,ACR,22,50738204,50745339
50,ACO2,22,41469117,41528974
51,ACOX1,17,75941507,75979166
52,ACP1,2,264947,278283
53,ACP2,11,47239302,47248814
54,ACP5,19,11574660,11578975
55,ACP3,3,132317407,132368302
56,ACRV1,11,125671522,125680847
58,ACTA1,1,229431245,229434094
59,ACTA2,10,88935074,88991397
60,ACTB,7,5527148,5530601
70,ACTC1,15,34790230,34795549
71,ACTG1,17,81509971,81512799
72,ACTG2,2,73893008,73919865
81,ACTN4,19,38647649,38731589
86,ACTL6A,3,179562926,179588407
87,ACTN1,14,68874128,68979302
88,ACTN2,1,236686499,236764631
89,ACTN3,11,66546395,66563334
90,ACVR1,2,157736446,157876330
91,ACVR1B,12,51951699,51997078
92,ACVR2A,2,147844517,147930822
93,ACVR2B,3,38453890,38493142
94,ACVRL1,12,51906944,51923361
95,ACY1,3,51983535,51989197
97,ACYP1,14,75053243,75069490
98,ACYP2,2,53971113,54305300
100,ADA,20,44619522,44651699
101,ADAM8,10,133262423,133276868
102,ADAM10,15,58588809,58749707
103,ADAR,1,154582057,154627997
104,ADARB1,21,45074578,45226563
105,ADARB2,10,1177313,1737525
107,ADCY1,7,45574140,45723116
108,ADCY2,5,7396138,7830081
109,ADCY3,2,24819169,24920237
111,ADCY5,3,123282296,123449090
112,ADCY6,12,48766194,48789961
113,ADCY7,16,50244699,50318135
114,ADCY8,8,130780301,131040909
115,ADCY9,16,3953387,4116442
116,ADCYAP1,18,904411,912172
117,ADCYAP1R1,7,31052308,31111474
118,ADD1,4,2843844,2930062
119,ADD2,2,70656784,70768200
120,ADD3,10,109996373,110135565
123,PLIN2,9,19108388,19127492
124,ADH1A,4,99276369,99290985
125,ADH1B,4,99304971,99321401
126,ADH1C,4,99336497,99352746
127,ADH4,4,99123658,99144297
128,ADH5,4,99070978,99088788
130,ADH6,4,99202639,99219246
131,ADH7,4,99412263,99435342
132,ADK,10,74151221,74709290
133,ADM,11,10305073,10307397
134,ADORA1,1,203127726,203167405
135,ADORA2A,22,24423597,24442357
136,ADORA2B,17,15850362,15975746
140,ADORA3,1,111499429,111503633
141,ADPRH,3,119579492,119589945
142,PARP1,1,226360691,226408093
143,PARP4,13,24420931,24512778
146,ADRA1D,20,4220630,4249287
147,ADRA1B,5,159865086,159989205
148,ADRA1A,8,26748150,26867379
150,ADRA2A,10,111077029,111080907
151,ADRA2B,2,96112876,96116571
152,ADRA2C,4,3766385,3768526
153,ADRB1,10,114043866,114046904
154,ADRB2,5,148826611,148828623
155,ADRB3,8,37962990,37966599
156,GRK2,11,67266473,67286556
157,GRK3,22,25564675,25729294
158,ADSL,22,40346500,40387527
159,ADSS2,1,244408494,244452060
160,AP2A1,19,49767001,49807114
161,AP2A2,11,925870,1012240
162,AP1B1,22,29327680,29388570
163,AP2B1,17,35587322,35726413
164,AP1G1,16,71729000,71808834
165,AEBP1,7,44104345,44114560
166,TLE5,19,3052910,3062966
167,CRISP1,6,49834257,49877096
173,AFM,4,73481745,73504001
174,AFP,4,73436221,73456174
175,AGA,4,177430774,177442437
176,ACAN,15,88803436,88875353
177,AGER,6,32180969,32184253
178,AGL,1,99849258,99924023
181,AGRP,16,67482571,67483547
182,JAG1,20,10637684,10673999
183,AGT,1,230702523,230745583
185,AGTR1,3,148697903,148743003
186,AGTR2,X,116170744,116174974
187,APLNR,11,57233591,57237250
189,AGXT,2,240868824,240880500
190,NR0B1,X,30304206,30309390
191,AHCY,20,34231981,34311836
196,AHR,7,17298652,17346147
197,AHSG,3,186613060,186621318
199,AIF1,6,31615234,31617015
202,CRYBG1,6,106360717,106572017
203,AK1,9,127866480,127879621
204,AK2,1,33007940,33036883
205,AK4,1,65147552,65232145
207,AKT1,14,104769349,104795748
208,AKT2,19,40230317,40285345
210,ALAD,9,113386312,113401284
211,ALAS1,3,52198083,52214327
212,ALAS2,X,55009055,55030977
213,ALB,4,73404287,73421482
214,ALCAM,3,105366909,105576900
215,ABCD1,X,153724856,153744755
216,ALDH1A1,9,72900671,72953053
217,ALDH2,12,111766933,111817532
218,ALDH3A1,17,19737984,19748298
219,ALDH1B1,9,38392702,38398661
220,ALDH1A3,15,100879831,100916626
221,ALDH3B1,11,68008547,68029276
222,ALDH3B2,11,67662155,67681252
223,ALDH9A1,1,165662216,165698562
224,ALDH3A2,17,19648136,19677596
225,ABCD2,12,39531025,39619803
226,ALDOA,16,30064279,30070420
229,ALDOB,9,101420560,101435774
230,ALDOC,17,28573120,28576895
231,AKR1B1,7,134442350,134459239
238,ALK,2,29192774,29921586
239,ALOX12,17,6996049,7010754
240,ALOX5,10,45374216,45446117
241,ALOX5AP,13,30713485,30764426
242,ALOX12B,17,8072636,8087716
246,ALOX15,17,4630919,4641678
247,ALOX15B,17,8039059,8049134
248,ALPI,2,232456153,232460753
249,ALPL,1,21508984,21578410
250,ALPP,2,232378751,232382889
251,ALPG,2,232406844,232410714
257,ALX3,1,110059870,110070672
258,AMBN,4,70592256,70607288
259,AMBP,9,114060127,114078300
262,AMD1,6,110814617,110895713
265,AMELX,X,11293413,11309588
266,AMELY,Y,6865918,6911752
267,AMFR,16,56361452,56425545
268,AMH,19,2249323,2252073
269,AMHR2,12,53423855,53431672
270,AMPD1,1,114673098,114695546
271,AMPD2,1,109619837,109632055
272,AMPD3,11,10450388,10507579
273,AMPH,7,38383704,38631373
274,BIN1,2,127048023,127107154
275,AMT,3,49416778,49422473
276,AMY1A,1,103655519,103664554
277,AMY1B,1,103687415,103696453
278,AMY1C,1,103749654,103758692
279,AMY2A,1,103616651,103625780
280,AMY2B,1,103554644,103579534
283,ANG,14,20684177,20694186
284,ANGPT1,8,107249482,107497918
285,ANGPT2,8,6499632,6563245
286,ANK1,8,41653225,41896741
287,ANK2,4,112705622,113383736
288,ANK3,10,60026298,60733528
290,ANPEP,15,89784895,89814852
291,SLC25A4,4,185143266,185150382
292,SLC25A5,X,119468444,119471396
293,SLC25A6,"X,Y",1386152,1392113
293,SLC25A6,"X,Y",1386152,1392113
301,ANXA1,9,73151865,73170393
302,ANXA2,15,60347151,60397986
306,ANXA3,4,78551770,78610447
307,ANXA4,2,69643808,69827112
308,ANXA5,4,121667946,121696980
309,ANXA6,5,151100706,151157779
310,ANXA7,10,73375101,73414058
311,ANXA11,10,80150889,80205808
312,ANXA13,8,123680794,123737393
313,AOAH,7,36512941,36724494
314,AOC2,17,42844580,42850707
316,AOX1,2,200586014,200682241
317,APAF1,12,98645290,98735433
318,NUDT2,9,34329569,34343699
319,APOF,12,56360568,56362857
320,APBA1,9,69427532,69673013
321,APBA2,15,28885974,29118315
322,APBB1,11,6395124,6419453
323,APBB2,4,40810027,41214542
324,APC,5,112707498,112846239
325,APCS,1,159587826,159588865
326,AIRE,21,44285876,44298648
327,APEH,3,49673117,49683971
328,APEX1,14,20455226,20457767
329,BIRC2,11,102347214,102378670
330,BIRC3,11,102317484,102339403
331,XIAP,X,123859708,123913972
332,BIRC5,17,78214253,78225635
333,APLP1,19,35868574,35879792
334,APLP2,11,130069894,130144805
335,APOA1,11,116835751,116837950
336,APOA2,1,161222292,161223628
337,APOA4,11,116820700,116823304
338,APOB,2,21001429,21044073
339,APOBEC1,12,7649400,7670599
341,APOC1,19,44914325,44919346
343,AQP8,16,25216947,25228932
344,APOC2,19,44946051,44949565
345,APOC3,11,116829907,116833072
346,APOC4,19,44942237,44945496
347,APOD,3,195568705,195583940
348,APOE,19,44905796,44909393
350,APOH,17,66212033,66229415
351,APP,21,25880550,26171128
353,APRT,16,88809339,88811928
354,KLK3,19,50854915,50860764
355,FAS,10,88964050,89017059
356,FASLG,1,172659103,172666876
357,SHROOM2,X,9786429,9949443
358,AQP1,7,30911853,30925516
359,AQP2,12,49950737,49958878
360,AQP3,9,33441160,33447593
361,AQP4,18,26852038,26865803
362,AQP5,12,49961872,49965682
363,AQP6,12,49972947,49977139
364,AQP7,9,33383191,33402568
366,AQP9,15,58138169,58185911
367,AR,X,67544021,67730619
368,ABCC6,16,16149565,16223494
369,ARAF,X,47561205,47571908
372,ARCN1,11,118572409,118603033
373,TRIM23,5,65589690,65624333
374,AREG,4,74445136,74455005
375,ARF1,1,228082708,228099212
377,ARF3,12,48935723,48957487
378,ARF4,3,57571363,57597344
379,ARL4D,17,43398993,43401137
381,ARF5,7,127588411,127591700
382,ARF6,14,49893082,49897054
383,ARG1,6,131573226,131584329
384,ARG2,14,67619920,67651708
387,RHOA,3,49359145,49411976
388,RHOB,2,20447074,20449440
389,RHOC,1,112701131,112707408
390,RND3,2,150468193,150487695
391,RHOG,11,3826978,3840959
392,ARHGAP1,11,46677080,46700619
393,ARHGAP4,X,153907378,153926264
394,ARHGAP5,14,32075880,32159728
395,ARHGAP6,X,11137544,11665920
396,ARHGDIA,17,81867721,81871337
397,ARHGDIB,12,14942015,14961601
398,ARHGDIG,16,280591,283010
399,RHOH,4,40191080,40246967
400,ARL1,12,101393116,101407820
401,PHOX2A,11,72239077,72244176
402,ARL2,11,65014160,65022184
403,ARL3,10,102673731,102714397
405,ARNT,1,150809713,150876599
406,BMAL1,11,13276652,13387266
407,ARR3,X,70268334,70281883
408,ARRB1,11,75260122,75351661
409,ARRB2,17,4710632,4721497
